ALGORITMO,NPROC,QUANTUM,RODADA,TME
../main_fifo,10,10,1,6460.800000
../main_fifo,10,10,2,2056.900000
../main_fifo,10,10,3,6637.400000
../main_fifo,10,10,4,3905.700000
../main_fifo,10,10,5,3249.800000
../main_fifo,10,10,6,5939.500000
../main_fifo,10,10,7,4466.300000
../main_fifo,10,10,8,7189.400000
../main_fifo,10,10,9,4710.200000
../main_fifo,10,10,10,5503.000000
../main_fifo,10,10,11,5245.500000
../main_fifo,10,10,12,4796.200000
../main_fifo,10,10,13,4031.300000
../main_fifo,10,10,14,4745.400000
../main_fifo,10,10,15,7261.900000
../main_fifo,10,10,16,6670.300000
../main_fifo,10,10,17,5900.300000
../main_fifo,10,10,18,7376.300000
../main_fifo,10,10,19,6422.100000
../main_fifo,10,10,20,4718.900000
../main_fifo,10,10,21,5556.600000
../main_fifo,10,10,22,8534.800000
../main_fifo,10,10,23,6817.900000
../main_fifo,10,10,24,5304.900000
../main_fifo,10,10,25,3216.800000
../main_fifo,10,10,26,5121.300000
../main_fifo,10,10,27,6560.000000
../main_fifo,10,10,28,4449.200000
../main_fifo,10,10,29,6015.400000
../main_fifo,10,10,30,5535.100000
../main_fifo,20,10,1,17220.850000
../main_fifo,20,10,2,11445.900000
../main_fifo,20,10,3,14970.750000
../main_fifo,20,10,4,14761.300000
../main_fifo,20,10,5,9486.750000
../main_fifo,20,10,6,11121.450000
../main_fifo,20,10,7,13138.400000
../main_fifo,20,10,8,14864.700000
../main_fifo,20,10,9,13129.950000
../main_fifo,20,10,10,15237.100000
../main_fifo,20,10,11,14526.900000
../main_fifo,20,10,12,11572.950000
../main_fifo,20,10,13,16300.950000
../main_fifo,20,10,14,12144.450000
../main_fifo,20,10,15,15470.650000
../main_fifo,20,10,16,12819.500000
../main_fifo,20,10,17,13785.800000
../main_fifo,20,10,18,10878.450000
../main_fifo,20,10,19,10963.950000
../main_fifo,20,10,20,10574.250000
../main_fifo,20,10,21,17146.650000
../main_fifo,20,10,22,16412.750000
../main_fifo,20,10,23,15127.000000
../main_fifo,20,10,24,13280.450000
../main_fifo,20,10,25,14049.450000
../main_fifo,20,10,26,14421.850000
../main_fifo,20,10,27,14112.550000
../main_fifo,20,10,28,12945.500000
../main_fifo,20,10,29,17141.100000
../main_fifo,20,10,30,12221.250000
../main_fifo,30,10,1,21220.466667
../main_fifo,30,10,2,22964.000000
../main_fifo,30,10,3,14622.600000
../main_fifo,30,10,4,20819.266667
../main_fifo,30,10,5,24740.166667
../main_fifo,30,10,6,19541.766667
../main_fifo,30,10,7,22472.733333
../main_fifo,30,10,8,21020.266667
../main_fifo,30,10,9,25367.266667
../main_fifo,30,10,10,18292.833333
../main_fifo,30,10,11,23391.166667
../main_fifo,30,10,12,22304.133333
../main_fifo,30,10,13,21910.566667
../main_fifo,30,10,14,22359.133333
../main_fifo,30,10,15,24159.266667
../main_fifo,30,10,16,18386.966667
../main_fifo,30,10,17,15066.333333
../main_fifo,30,10,18,19701.733333
../main_fifo,30,10,19,20142.566667
../main_fifo,30,10,20,25366.666667
../main_fifo,30,10,21,22123.100000
../main_fifo,30,10,22,24906.400000
../main_fifo,30,10,23,22173.800000
../main_fifo,30,10,24,25623.200000
../main_fifo,30,10,25,22289.533333
../main_fifo,30,10,26,21498.766667
../main_fifo,30,10,27,21470.000000
../main_fifo,30,10,28,21358.800000
../main_fifo,30,10,29,21455.000000
../main_fifo,30,10,30,19390.066667
../main_fifo,40,10,1,32316.725000
../main_fifo,40,10,2,26410.350000
../main_fifo,40,10,3,28691.950000
../main_fifo,40,10,4,32562.150000
../main_fifo,40,10,5,20588.375000
../main_fifo,40,10,6,25431.950000
../main_fifo,40,10,7,31334.325000
../main_fifo,40,10,8,31018.800000
../main_fifo,40,10,9,34288.475000
../main_fifo,40,10,10,22668.600000
../main_fifo,40,10,11,34076.050000
../main_fifo,40,10,12,24737.175000
../main_fifo,40,10,13,32799.325000
../main_fifo,40,10,14,22926.600000
../main_fifo,40,10,15,32607.425000
../main_fifo,40,10,16,28732.700000
../main_fifo,40,10,17,25159.875000
../main_fifo,40,10,18,34430.775000
../main_fifo,40,10,19,32715.450000
../main_fifo,40,10,20,34198.500000
../main_fifo,40,10,21,27332.950000
../main_fifo,40,10,22,29168.750000
../main_fifo,40,10,23,24434.875000
../main_fifo,40,10,24,33824.075000
../main_fifo,40,10,25,31295.450000
../main_fifo,40,10,26,36391.675000
../main_fifo,40,10,27,30338.125000
../main_fifo,40,10,28,33141.600000
../main_fifo,40,10,29,33681.125000
../main_fifo,40,10,30,32108.700000
../main_fifo,50,10,1,33394.880000
../main_fifo,50,10,2,39140.720000
../main_fifo,50,10,3,35463.940000
../main_fifo,50,10,4,40153.840000
../main_fifo,50,10,5,33421.860000
../main_fifo,50,10,6,42019.520000
../main_fifo,50,10,7,36061.360000
../main_fifo,50,10,8,42797.760000
../main_fifo,50,10,9,39314.460000
../main_fifo,50,10,10,38133.520000
../main_fifo,50,10,11,34212.080000
../main_fifo,50,10,12,46594.900000
../main_fifo,50,10,13,37633.260000
../main_fifo,50,10,14,33022.700000
../main_fifo,50,10,15,28967.040000
../main_fifo,50,10,16,36093.760000
../main_fifo,50,10,17,34517.800000
../main_fifo,50,10,18,41908.360000
../main_fifo,50,10,19,41064.500000
../main_fifo,50,10,20,35808.240000
../main_fifo,50,10,21,41815.800000
../main_fifo,50,10,22,34216.500000
../main_fifo,50,10,23,34864.640000
../main_fifo,50,10,24,39235.680000
../main_fifo,50,10,25,38102.120000
../main_fifo,50,10,26,36057.280000
../main_fifo,50,10,27,38443.460000
../main_fifo,50,10,28,46357.660000
../main_fifo,50,10,29,41267.680000
../main_fifo,50,10,30,32157.600000
../main_fifo,60,10,1,47365.166667
../main_fifo,60,10,2,46485.866667
../main_fifo,60,10,3,43778.033333
../main_fifo,60,10,4,48190.466667
../main_fifo,60,10,5,51233.583333
../main_fifo,60,10,6,49945.550000
../main_fifo,60,10,7,52296.933333
../main_fifo,60,10,8,48163.683333
../main_fifo,60,10,9,45567.300000
../main_fifo,60,10,10,52219.400000
../main_fifo,60,10,11,55269.016667
../main_fifo,60,10,12,48100.433333
../main_fifo,60,10,13,43088.450000
../main_fifo,60,10,14,51642.466667
../main_fifo,60,10,15,46898.300000
../main_fifo,60,10,16,40984.733333
../main_fifo,60,10,17,49919.783333
../main_fifo,60,10,18,59959.750000
../main_fifo,60,10,19,56357.600000
../main_fifo,60,10,20,42869.833333
../main_fifo,60,10,21,50740.866667
../main_fifo,60,10,22,38963.683333
../main_fifo,60,10,23,45910.933333
../main_fifo,60,10,24,40935.633333
../main_fifo,60,10,25,49865.716667
../main_fifo,60,10,26,47455.150000
../main_fifo,60,10,27,47751.733333
../main_fifo,60,10,28,46365.283333
../main_fifo,60,10,29,41327.266667
../main_fifo,60,10,30,54072.833333
../main_fifo,70,10,1,49698.157143
../main_fifo,70,10,2,57416.228571
../main_fifo,70,10,3,57945.100000
../main_fifo,70,10,4,45146.328571
../main_fifo,70,10,5,56793.842857
../main_fifo,70,10,6,54438.814286
../main_fifo,70,10,7,57058.771429
../main_fifo,70,10,8,60575.985714
../main_fifo,70,10,9,59623.485714
../main_fifo,70,10,10,58737.371429
../main_fifo,70,10,11,61623.114286
../main_fifo,70,10,12,70409.542857
../main_fifo,70,10,13,55680.157143
../main_fifo,70,10,14,58946.514286
../main_fifo,70,10,15,52580.114286
../main_fifo,70,10,16,50140.928571
../main_fifo,70,10,17,60370.414286
../main_fifo,70,10,18,55606.900000
../main_fifo,70,10,19,55270.742857
../main_fifo,70,10,20,56958.771429
../main_fifo,70,10,21,57480.800000
../main_fifo,70,10,22,50022.600000
../main_fifo,70,10,23,67615.771429
../main_fifo,70,10,24,66625.614286
../main_fifo,70,10,25,61591.185714
../main_fifo,70,10,26,54574.328571
../main_fifo,70,10,27,54737.528571
../main_fifo,70,10,28,65796.885714
../main_fifo,70,10,29,52134.728571
../main_fifo,70,10,30,55661.228571
../main_fifo,80,10,1,64901.612500
../main_fifo,80,10,2,75659.662500
../main_fifo,80,10,3,69171.537500
../main_fifo,80,10,4,59793.225000
../main_fifo,80,10,5,54872.275000
../main_fifo,80,10,6,59301.062500
../main_fifo,80,10,7,52526.087500
../main_fifo,80,10,8,61910.262500
../main_fifo,80,10,9,60877.787500
../main_fifo,80,10,10,62457.162500
../main_fifo,80,10,11,63564.387500
../main_fifo,80,10,12,55307.087500
../main_fifo,80,10,13,66128.525000
../main_fifo,80,10,14,63012.600000
../main_fifo,80,10,15,57647.850000
../main_fifo,80,10,16,52294.937500
../main_fifo,80,10,17,62613.775000
../main_fifo,80,10,18,56774.062500
../main_fifo,80,10,19,60350.750000
../main_fifo,80,10,20,59614.100000
../main_fifo,80,10,21,66289.462500
../main_fifo,80,10,22,61684.837500
../main_fifo,80,10,23,60364.600000
../main_fifo,80,10,24,55704.287500
../main_fifo,80,10,25,64186.875000
../main_fifo,80,10,26,63112.337500
../main_fifo,80,10,27,57785.600000
../main_fifo,80,10,28,47891.562500
../main_fifo,80,10,29,60751.350000
../main_fifo,80,10,30,62709.462500
../main_fifo,90,10,1,58404.811111
../main_fifo,90,10,2,73529.566667
../main_fifo,90,10,3,65224.355556
../main_fifo,90,10,4,63736.588889
../main_fifo,90,10,5,68811.911111
../main_fifo,90,10,6,71736.955556
../main_fifo,90,10,7,67494.066667
../main_fifo,90,10,8,61747.222222
../main_fifo,90,10,9,62737.577778
../main_fifo,90,10,10,57277.855556
../main_fifo,90,10,11,68257.122222
../main_fifo,90,10,12,68106.188889
../main_fifo,90,10,13,61511.877778
../main_fifo,90,10,14,56946.133333
../main_fifo,90,10,15,60129.566667
../main_fifo,90,10,16,58531.311111
../main_fifo,90,10,17,69257.977778
../main_fifo,90,10,18,66069.900000
../main_fifo,90,10,19,63260.211111
../main_fifo,90,10,20,65560.911111
../main_fifo,90,10,21,70803.288889
../main_fifo,90,10,22,64934.433333
../main_fifo,90,10,23,82834.566667
../main_fifo,90,10,24,74640.000000
../main_fifo,90,10,25,87767.133333
../main_fifo,90,10,26,77036.533333
../main_fifo,90,10,27,72480.066667
../main_fifo,90,10,28,77280.033333
../main_fifo,90,10,29,88047.477778
../main_fifo,90,10,30,71824.811111
../main_fifo,100,10,1,91934.370000
../main_fifo,100,10,2,84830.980000
../main_fifo,100,10,3,89428.340000
../main_fifo,100,10,4,92623.100000
../main_fifo,100,10,5,83031.690000
../main_fifo,100,10,6,78241.050000
../main_fifo,100,10,7,92588.380000
../main_fifo,100,10,8,81272.030000
../main_fifo,100,10,9,93906.960000
../main_fifo,100,10,10,97180.520000
../main_fifo,100,10,11,85971.640000
../main_fifo,100,10,12,84370.140000
../main_fifo,100,10,13,87418.890000
../main_fifo,100,10,14,86507.700000
../main_fifo,100,10,15,81994.950000
../main_fifo,100,10,16,86948.000000
../main_fifo,100,10,17,81879.610000
../main_fifo,100,10,18,80787.210000
../main_fifo,100,10,19,87770.450000
../main_fifo,100,10,20,92442.640000
../main_fifo,100,10,21,97534.030000
../main_fifo,100,10,22,88508.500000
../main_fifo,100,10,23,95566.550000
../main_fifo,100,10,24,88237.150000
../main_fifo,100,10,25,93921.040000
../main_fifo,100,10,26,77380.430000
../main_fifo,100,10,27,75854.890000
../main_fifo,100,10,28,87822.890000
../main_fifo,100,10,29,74590.720000
../main_fifo,100,10,30,80552.770000
../main_fifo,10,20,1,5728.200000
../main_fifo,10,20,2,2092.900000
../main_fifo,10,20,3,4104.000000
../main_fifo,10,20,4,2667.600000
../main_fifo,10,20,5,2505.900000
../main_fifo,10,20,6,4598.100000
../main_fifo,10,20,7,1714.300000
